,match,team,goals,GK_passes_succeed,GK_total passes,GK_passes accuracy,GK_total shots,GK_on-target,GK_fouls committed,GK_fouls suffered,GK_distance,GK_distance in poss,GK_distance not in poss,GK_time on opposite half,GK_time on opposite third,GK_time on opposite pen,GK_sprints,GK_avg max speed,GK_low activity,GK_mid activity,GK_high activity,GK_saves,GK_yellow,GK_red,GK_tackles gaining ball,GK_tackles suffered losing ball,DF_passes_succeed,DF_total passes,DF_passes accuracy,DF_total shots,DF_on-target,DF_fouls committed,DF_fouls suffered,DF_distance,DF_distance in poss,DF_distance not in poss,DF_time on opposite half,DF_time on opposite third,DF_time on opposite pen,DF_sprints,DF_avg max speed,DF_low activity,DF_mid activity,DF_high activity,DF_saves,DF_yellow,DF_red,DF_tackles gaining ball,DF_tackles suffered losing ball,MF_passes_succeed,MF_total passes,MF_passes accuracy,MF_total shots,MF_on-target,MF_fouls committed,MF_fouls suffered,MF_distance,MF_distance in poss,MF_distance not in poss,MF_time on opposite half,MF_time on opposite third,MF_time on opposite pen,MF_sprints,MF_avg max speed,MF_low activity,MF_mid activity,MF_high activity,MF_saves,MF_yellow,MF_red,MF_tackles gaining ball,MF_tackles suffered losing ball,FW_passes_succeed,FW_total passes,FW_passes accuracy,FW_total shots,FW_on-target,FW_fouls committed,FW_fouls suffered,FW_distance,FW_distance in poss,FW_distance not in poss,FW_time on opposite half,FW_time on opposite third,FW_time on opposite pen,FW_sprints,FW_avg max speed,FW_low activity,FW_mid activity,FW_high activity,FW_saves,FW_yellow,FW_red,FW_tackles gaining ball,FW_tackles suffered losing ball,result
47,24,NGA,2.0,10.0,19.0,53.0,0.0,0.0,0.0,0.0,3609.0,1312.0,1141.0,0.0,0.0,0.0,0.0,14.98,95.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,147.0,174.0,85.4,3.0,0.0,4.0,3.0,36616.0,14201.0,13176.0,125.0,10.0,1.8,90.0,27.2,71.8,26.4,1.8,0.0,1.0,0.0,0.0,0.0,154.0,176.0,88.0,4.0,2.0,3.0,2.0,30128.0,12732.0,9921.0,126.0,17.666666666666668,4.333333333333333,83.0,25.956666666666667,66.66666666666667,32.0,1.3333333333333333,0.0,0.0,0.0,1.0,2.0,88.0,104.0,90.4,9.0,2.0,2.0,5.0,29319.0,12968.0,8949.0,300.0,28.0,5.8,143.0,29.268,68.6,27.6,3.8,0.0,0.0,0.0,0.0,2.0,1
48,25,BRA,2.0,18.0,18.0,100.0,0.0,0.0,0.0,0.0,5124.0,2706.0,1269.0,0.0,0.0,0.0,2.0,18.61,94.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,338.0,94.75,5.0,1.0,3.0,2.0,37434.0,20317.0,10663.0,172.0,15.5,2.5,105.0,28.0625,72.0,26.75,1.25,0.0,0.0,0.0,3.0,0.0,229.0,254.0,91.6,9.0,5.0,2.0,4.0,35965.0,19799.0,10547.0,348.0,38.4,9.2,120.0,26.834000000000003,59.6,37.6,2.8,0.0,1.0,0.0,0.0,0.0,97.0,122.0,81.25,9.0,3.0,6.0,5.0,26553.0,15181.0,7076.0,309.0,51.25,11.75,89.0,29.4125,68.0,29.25,2.75,0.0,1.0,0.0,0.0,2.0,1
49,25,CRC,0.0,22.0,41.0,54.0,0.0,0.0,0.0,2.0,3461.0,856.0,2007.0,0.0,0.0,0.0,0.0,11.88,95.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,81.0,98.0,80.83333333333333,3.0,0.0,4.0,4.0,38738.0,12034.0,28632.0,66.0,3.3333333333333335,0.5,128.0,28.31833333333333,67.16666666666667,30.833333333333332,2.0,0.0,1.0,0.0,2.0,0.0,75.0,104.0,69.4,1.0,0.0,4.0,2.0,9615.0,9938.0,23470.0,126.0,8.2,1.8,110.0,28.0,60.6,37.2,2.2,0.0,0.0,0.0,0.0,1.0,21.0,30.0,67.0,0.0,0.0,3.0,3.0,7330.0,4863.0,9707.0,99.0,18.0,3.5,73.0,31.72,63.5,33.5,3.0,0.0,0.0,0.0,0.0,2.0,-1
50,26,SRB,1.0,25.0,32.0,78.0,0.0,0.0,0.0,0.0,5251.0,1813.0,1954.0,0.0,0.0,0.0,2.0,21.31,94.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,118.0,80.25,0.0,0.0,5.0,5.0,40833.0,12562.0,19460.0,87.0,7.25,1.5,141.0,29.6425,68.75,29.0,2.25,0.0,0.0,0.0,0.0,0.0,110.0,140.0,78.66666666666667,6.0,1.0,9.0,4.0,57747.0,18223.0,27855.0,309.0,23.666666666666668,3.5,195.0,28.458333333333332,60.5,37.166666666666664,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,12.0,19.0,57.5,6.0,2.0,3.0,3.0,11757.0,3556.0,5553.0,115.0,29.0,6.5,37.0,28.87,67.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,-1
51,26,SUI,2.0,29.0,39.0,74.0,0.0,0.0,0.0,0.0,5044.0,2244.0,1495.0,0.0,0.0,0.0,2.0,27.0,93.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,228.0,85.5,6.0,0.0,6.0,6.0,20552.0,17478.0,14149.0,109.0,11.0,1.5,109.0,28.19,69.5,28.75,1.75,0.0,0.0,0.0,0.0,0.0,233.0,262.0,86.8,12.0,3.0,4.0,9.0,22669.0,23659.0,18410.0,247.0,21.8,3.8,189.0,27.892000000000003,65.4,32.0,2.6,0.0,0.0,0.0,0.0,0.0,14.0,18.0,56.25,2.0,2.0,2.0,2.0,14225.0,6400.0,4531.0,299.0,44.5,20.75,66.0,27.515,61.25,33.5,5.25,0.0,0.0,0.0,0.0,0.0,1
52,27,GER,2.0,31.0,32.0,97.0,0.0,0.0,0.0,0.0,5523.0,2666.0,1234.0,2.0,0.0,0.0,6.0,24.66,92.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,306.0,93.0,4.0,1.0,5.0,5.0,40175.0,21848.0,9529.0,185.0,22.5,3.25,93.0,28.835,64.5,34.0,1.5,0.0,0.0,0.0,0.0,0.0,254.0,277.0,92.0,8.0,2.0,5.0,4.0,39166.0,22057.0,8659.0,398.0,42.666666666666664,9.833333333333334,101.0,26.723333333333333,63.833333333333336,34.166666666666664,2.0,0.0,0.0,0.0,0.0,0.0,64.0,84.0,64.33333333333333,4.0,2.0,2.0,3.0,25773.0,14094.0,5600.0,233.0,56.0,23.333333333333332,101.0,31.5,71.66666666666667,26.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,1
53,27,SWE,1.0,15.0,30.0,50.0,0.0,0.0,0.0,1.0,4681.0,1002.0,2185.0,0.0,0.0,0.0,0.0,12.38,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,73.0,86.0,1.0,1.0,3.0,3.0,18656.0,7847.0,21874.0,59.0,6.0,1.75,67.0,29.925,70.25,29.0,0.75,0.0,0.0,0.0,0.0,0.0,63.0,80.0,81.6,2.0,1.0,4.0,3.0,15127.0,9255.0,26389.0,162.0,15.4,1.8,116.0,27.95,63.4,34.8,1.8,0.0,0.0,0.0,0.0,0.0,24.0,30.0,64.25,5.0,4.0,6.0,3.0,22020.0,4881.0,12294.0,168.0,19.0,6.25,53.0,27.5825,61.5,36.0,2.5,0.0,0.0,0.0,0.0,0.0,-1
54,28,KOR,1.0,13.0,16.0,81.0,0.0,0.0,0.0,0.0,4351.0,1483.0,1572.0,0.0,0.0,0.0,1.0,18.43,94.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,121.0,80.6,0.0,0.0,10.0,3.0,35871.0,11592.0,16257.0,113.0,9.0,2.6,126.0,27.124000000000002,70.0,28.2,1.8,0.0,0.0,0.0,0.0,0.0,133.0,156.0,84.5,7.0,3.0,12.0,1.0,40630.0,12947.0,18932.0,231.0,17.333333333333332,3.0,137.0,28.548333333333336,64.83333333333333,32.833333333333336,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,40.0,53.0,66.5,10.0,3.0,2.0,3.0,18125.0,6193.0,7821.0,124.0,30.0,6.5,88.0,32.635,71.5,25.5,3.0,0.0,0.0,0.0,0.0,0.0,-1
55,28,MEX,2.0,20.0,25.0,80.0,0.0,0.0,0.0,1.0,3495.0,1213.0,1066.0,0.0,0.0,0.0,1.0,20.09,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,263.0,92.2,2.0,1.0,3.0,2.0,30600.0,16857.0,14500.0,159.0,12.8,4.6,109.0,27.778,68.8,29.8,1.4,0.0,0.0,0.0,0.0,0.0,104.0,123.0,79.6,3.0,2.0,0.0,4.0,30637.0,12297.0,11087.0,285.0,23.2,1.8,116.0,27.612000000000002,68.8,28.4,2.8,0.0,0.0,0.0,0.0,0.0,65.0,74.0,88.66666666666667,8.0,2.0,4.0,14.0,21859.0,9584.0,6689.0,205.0,40.666666666666664,9.333333333333334,75.0,29.856666666666666,76.33333333333333,21.666666666666668,2.0,0.0,0.0,0.0,0.0,0.0,1
56,29,BEL,5.0,31.0,39.0,79.0,0.0,0.0,0.0,0.0,4247.0,1736.0,1423.0,0.0,0.0,0.0,1.0,15.7,94.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,187.0,86.0,4.0,1.0,5.0,4.0,39485.0,15037.0,15113.0,102.0,8.75,2.25,106.0,28.8175,68.0,30.5,1.5,0.0,0.0,0.0,0.0,0.0,137.0,161.0,81.6,7.0,3.0,5.0,4.0,36088.0,14445.0,13923.0,234.0,21.2,5.0,99.0,28.246000000000002,63.8,33.8,2.4,0.0,0.0,0.0,0.0,0.0,63.0,81.0,80.5,12.0,8.0,2.0,5.0,23757.0,9850.0,8510.0,265.0,35.0,9.25,95.0,28.9375,73.0,24.25,2.75,0.0,0.0,0.0,0.0,0.0,1
