,index,Unnamed: 0,match,team,GK_passes_succeed,GK_total passes,GK_passes accuracy,GK_total shots,GK_on-target,GK_fouls committed,GK_fouls suffered,GK_distance,GK_distance in poss,GK_distance not in poss,GK_time on opposite half,GK_time on opposite third,GK_time on opposite pen,GK_sprints,GK_avg max speed,GK_low activity,GK_mid activity,GK_high activity,GK_saves,GK_yellow,GK_red,GK_tackles gaining ball,GK_tackles suffered losing ball,DF_passes_succeed,DF_total passes,DF_passes accuracy,DF_total shots,DF_on-target,DF_fouls committed,DF_fouls suffered,DF_distance,DF_distance in poss,DF_distance not in poss,DF_time on opposite half,DF_time on opposite third,DF_time on opposite pen,DF_sprints,DF_avg max speed,DF_low activity,DF_mid activity,DF_high activity,DF_saves,DF_yellow,DF_red,DF_tackles gaining ball,DF_tackles suffered losing ball,MF_passes_succeed,MF_total passes,MF_passes accuracy,MF_total shots,MF_on-target,MF_fouls committed,MF_fouls suffered,MF_distance,MF_distance in poss,MF_distance not in poss,MF_time on opposite half,MF_time on opposite third,MF_time on opposite pen,MF_sprints,MF_avg max speed,MF_low activity,MF_mid activity,MF_high activity,MF_saves,MF_yellow,MF_red,MF_tackles gaining ball,MF_tackles suffered losing ball,FW_passes_succeed,FW_total passes,FW_passes accuracy,FW_total shots,FW_on-target,FW_fouls committed,FW_fouls suffered,FW_distance,FW_distance in poss,FW_distance not in poss,FW_time on opposite half,FW_time on opposite third,FW_time on opposite pen,FW_sprints,FW_avg max speed,FW_low activity,FW_mid activity,FW_high activity,FW_saves,FW_yellow,FW_red,FW_tackles gaining ball,FW_tackles suffered losing ball,result
235,107,107,54,GER,25.0,11.0,39.0,0.0,0.0,0.0,-1.0,2053.0,1217.0,-82.0,1.0,0.0,0.0,6.0,0.35999999999999943,-2.0,1.0,1.0,-7.0,0.0,0.0,0.0,0.0,115.0,109.0,5.400000000000006,1.0,2.0,-3.0,6.0,-5334.0,5993.0,-10115.0,40.0,4.45,1.05,-58.0,0.7624999999999993,-0.75,1.0999999999999996,-0.34999999999999964,0.0,-1.0,0.0,-5.0,0.0,284.0,320.0,11.5,9.0,8.0,-1.0,4.0,17244.0,14584.0,-3008.0,163.0,11.916666666666668,0.6666666666666665,43.0,1.0775000000000006,0.9166666666666714,-0.16666666666666607,-0.75,0.0,1.0,0.0,-2.0,4.0,9.0,-4.0,10.166666666666657,8.0,5.0,-5.0,-1.0,-11081.0,1448.0,-8722.0,-10.0,16.333333333333336,1.666666666666667,-31.0,-1.6674999999999969,-3.75,1.166666666666666,2.583333333333334,0.0,0.0,0.0,2.0,1.0,1
236,108,108,55,ARG,5.0,-8.0,31.0,0.0,0.0,0.0,0.0,-3458.0,-543.0,-1667.0,0.0,-1.0,0.0,-1.0,1.0800000000000018,2.0,-1.0,-1.0,-4.0,0.0,0.0,0.0,0.0,149.0,153.0,11.549999999999997,1.0,2.0,5.0,0.0,1605.0,7568.0,-7649.0,114.0,9.05,4.15,1.0,-2.3870000000000005,-2.049999999999997,0.75,1.3000000000000007,0.0,2.0,0.0,4.0,-1.0,69.0,79.0,8.833333333333329,8.0,9.0,-10.0,2.0,-21114.0,652.0,-15045.0,-32.0,6.5,-2.0,-68.0,0.35166666666666657,4.333333333333329,-2.5,-1.833333333333334,0.0,-1.0,0.0,-5.0,-3.0,29.0,55.0,-8.75,6.0,4.0,-4.0,5.0,11027.0,9289.0,-1243.0,121.0,20.5,6.0,55.0,0.08916666666667084,4.416666666666671,-3.25,-1.166666666666666,0.0,0.0,0.0,1.0,4.0,1
237,109,109,55,SUI,-5.0,8.0,-31.0,0.0,0.0,0.0,0.0,3458.0,543.0,1667.0,0.0,1.0,0.0,1.0,-1.0800000000000018,-2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,-149.0,-153.0,-11.549999999999997,-1.0,-2.0,-5.0,0.0,-1605.0,-7568.0,7649.0,-114.0,-9.05,-4.15,-1.0,2.3870000000000005,2.049999999999997,-0.75,-1.3000000000000007,0.0,-2.0,0.0,-4.0,1.0,-69.0,-79.0,-8.833333333333329,-8.0,-9.0,10.0,-2.0,21114.0,-652.0,15045.0,32.0,-6.5,2.0,68.0,-0.35166666666666657,-4.333333333333329,2.5,1.833333333333334,0.0,1.0,0.0,5.0,3.0,-29.0,-55.0,8.75,-6.0,-4.0,4.0,-5.0,-11027.0,-9289.0,1243.0,-121.0,-20.5,-6.0,-55.0,-0.08916666666667084,-4.416666666666671,3.25,1.166666666666666,0.0,0.0,0.0,-1.0,-4.0,-1
238,110,110,56,BEL,-30.0,-19.0,-39.0,0.0,0.0,0.0,0.0,-1143.0,-46.0,-314.0,0.0,0.0,0.0,-3.0,-11.879999999999999,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-103.0,-133.0,7.416666666666671,9.0,6.0,2.0,-11.0,-16806.0,-7299.0,-4824.0,-7.0,3.166666666666666,0.9166666666666667,-105.0,-0.8125,2.6666666666666714,-1.083333333333334,-1.583333333333334,0.0,0.0,0.0,0.0,0.0,19.0,19.0,2.4000000000000057,9.0,5.0,11.0,1.0,9853.0,1344.0,5012.0,113.0,6.399999999999999,-1.0999999999999996,-37.0,-1.2526666666666664,2.4000000000000057,-1.3000000000000007,-1.0999999999999996,0.0,0.0,0.0,0.0,0.0,-11.0,-6.0,-11.333333333333329,6.0,6.0,3.0,-4.0,411.0,-413.0,1194.0,83.0,9.333333333333336,3.0,24.0,3.0599999999999987,4.833333333333329,-2.5,-2.333333333333334,0.0,0.0,0.0,0.0,0.0,1
239,111,111,56,USA,30.0,19.0,39.0,0.0,0.0,0.0,0.0,1143.0,46.0,314.0,0.0,0.0,0.0,3.0,11.879999999999999,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,103.0,133.0,-7.416666666666671,-9.0,-6.0,-2.0,11.0,16806.0,7299.0,4824.0,7.0,-3.166666666666666,-0.9166666666666667,105.0,0.8125,-2.6666666666666714,1.083333333333334,1.583333333333334,0.0,0.0,0.0,0.0,0.0,-19.0,-19.0,-2.4000000000000057,-9.0,-5.0,-11.0,-1.0,-9853.0,-1344.0,-5012.0,-113.0,-6.399999999999999,1.0999999999999996,37.0,1.2526666666666664,-2.4000000000000057,1.3000000000000007,1.0999999999999996,0.0,0.0,0.0,0.0,0.0,11.0,6.0,11.333333333333329,-6.0,-6.0,-3.0,4.0,-411.0,413.0,-1194.0,-83.0,-9.333333333333336,-3.0,-24.0,-3.0599999999999987,-4.833333333333329,2.5,2.333333333333334,0.0,0.0,0.0,0.0,0.0,-1
240,112,112,57,BRA,-2.0,4.0,-25.0,0.0,0.0,1.0,-2.0,-470.0,-152.0,-307.0,0.0,0.0,0.0,-4.0,-2.0599999999999987,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,6.099999999999994,2.0,2.0,5.0,-3.0,-2017.0,-547.0,-294.0,-51.0,-10.75,-3.15,-18.0,-1.8554999999999993,-0.7000000000000028,0.20000000000000018,0.5,0.0,0.0,0.0,0.0,0.0,-24.0,-47.0,-4.0,-5.0,-2.0,0.0,-8.0,-7072.0,-1815.0,-2537.0,-98.0,-13.0,-1.1999999999999997,-49.0,1.1600000000000001,-2.200000000000003,0.40000000000000036,1.799999999999999,0.0,0.0,0.0,0.0,0.0,26.0,29.0,7.833333333333329,4.0,1.0,2.0,6.0,7429.0,2917.0,1535.0,-122.0,-17.833333333333332,-9.583333333333332,49.0,0.750833333333329,-0.1666666666666714,-0.5,0.6666666666666661,0.0,0.0,0.0,0.0,0.0,1
241,113,113,57,COL,2.0,-4.0,25.0,0.0,0.0,-1.0,2.0,470.0,152.0,307.0,0.0,0.0,0.0,4.0,2.0599999999999987,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-15.0,-6.099999999999994,-2.0,-2.0,-5.0,3.0,2017.0,547.0,294.0,51.0,10.75,3.15,18.0,1.8554999999999993,0.7000000000000028,-0.20000000000000018,-0.5,0.0,0.0,0.0,0.0,0.0,24.0,47.0,4.0,5.0,2.0,0.0,8.0,7072.0,1815.0,2537.0,98.0,13.0,1.1999999999999997,49.0,-1.1600000000000001,2.200000000000003,-0.40000000000000036,-1.799999999999999,0.0,0.0,0.0,0.0,0.0,-26.0,-29.0,-7.833333333333329,-4.0,-1.0,-2.0,-6.0,-7429.0,-2917.0,-1535.0,122.0,17.833333333333332,9.583333333333332,-49.0,-0.750833333333329,0.1666666666666714,0.5,-0.6666666666666661,0.0,0.0,0.0,0.0,0.0,-1
242,114,114,58,FRA,-4.0,-11.0,10.0,0.0,0.0,0.0,1.0,-568.0,45.0,-191.0,0.0,0.0,0.0,-4.0,-0.620000000000001,1.0,0.0,-1.0,-3.0,0.0,0.0,0.0,0.0,69.0,90.0,1.8666666666666742,0.0,-1.0,3.0,3.0,7057.0,2276.0,2130.0,46.0,2.133333333333333,1.4666666666666666,40.0,-2.2426666666666684,2.933333333333323,-1.466666666666666,-1.466666666666666,0.0,0.0,0.0,-1.0,1.0,-63.0,-60.0,5.25,1.0,1.0,0.0,1.0,-14039.0,-5630.0,-5487.0,-97.0,2.583333333333334,0.08333333333333348,-29.0,-1.014166666666668,4.333333333333329,-1.416666666666666,-2.916666666666666,0.0,-2.0,0.0,-1.0,1.0,-4.0,-25.0,36.5,4.0,3.0,-6.0,-4.0,393.0,485.0,122.0,3.0,-3.25,-3.25,-6.0,1.9949999999999974,3.0,-1.5,-1.5,0.0,0.0,0.0,0.0,0.0,-1
243,115,115,58,GER,4.0,11.0,-10.0,0.0,0.0,0.0,-1.0,568.0,-45.0,191.0,0.0,0.0,0.0,4.0,0.620000000000001,-1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,-69.0,-90.0,-1.8666666666666742,0.0,1.0,-3.0,-3.0,-7057.0,-2276.0,-2130.0,-46.0,-2.133333333333333,-1.4666666666666666,-40.0,2.2426666666666684,-2.933333333333323,1.466666666666666,1.466666666666666,0.0,0.0,0.0,1.0,-1.0,63.0,60.0,-5.25,-1.0,-1.0,0.0,-1.0,14039.0,5630.0,5487.0,97.0,-2.583333333333334,-0.08333333333333348,29.0,1.014166666666668,-4.333333333333329,1.416666666666666,2.916666666666666,0.0,2.0,0.0,1.0,-1.0,4.0,25.0,-36.5,-4.0,-3.0,6.0,4.0,-393.0,-485.0,-122.0,-3.0,3.25,3.25,6.0,-1.9949999999999974,-3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1
244,116,116,59,CRC,-8.0,3.0,19.0,0.0,0.0,0.0,1.0,-680.0,-1267.0,824.0,0.0,0.0,0.0,0.0,-2.66,10.5,-2.0,-8.5,0.0,0.0,0.0,0.0,0.0,-177.0,-158.0,-18.75,0.0,-1.0,4.0,7.0,19529.0,-3904.0,17018.0,-19.0,-7.0,-3.25,76.0,-1.1333333333333329,-1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,-62.0,-50.0,-22.0,-2.0,0.0,1.0,0.0,16275.0,-710.0,12355.0,33.0,-12.75,-3.5,79.0,2.2624999999999993,-2.75,1.5,1.25,0.0,0.0,0.0,0.0,0.0,-118.0,-160.0,-9.666666666666664,-12.0,-11.0,-7.0,-5.0,-27566.0,-17358.0,-2083.0,-272.0,-22.166666666666657,-9.166666666666666,-143.0,-0.3116666666666674,-0.1666666666666572,0.5,-0.3333333333333339,0.0,0.0,0.0,0.0,0.0,-1
