,match,team,goals,GK_passes_succeed,GK_total passes,GK_passes accuracy,GK_total shots,GK_on-target,GK_fouls committed,GK_fouls suffered,GK_distance,GK_distance in poss,GK_distance not in poss,GK_time on opposite half,GK_time on opposite third,GK_time on opposite pen,GK_sprints,GK_avg max speed,GK_low activity,GK_mid activity,GK_high activity,GK_saves,GK_yellow,GK_red,GK_tackles gaining ball,GK_tackles suffered losing ball,DF_passes_succeed,DF_total passes,DF_passes accuracy,DF_total shots,DF_on-target,DF_fouls committed,DF_fouls suffered,DF_distance,DF_distance in poss,DF_distance not in poss,DF_time on opposite half,DF_time on opposite third,DF_time on opposite pen,DF_sprints,DF_avg max speed,DF_low activity,DF_mid activity,DF_high activity,DF_saves,DF_yellow,DF_red,DF_tackles gaining ball,DF_tackles suffered losing ball,MF_passes_succeed,MF_total passes,MF_passes accuracy,MF_total shots,MF_on-target,MF_fouls committed,MF_fouls suffered,MF_distance,MF_distance in poss,MF_distance not in poss,MF_time on opposite half,MF_time on opposite third,MF_time on opposite pen,MF_sprints,MF_avg max speed,MF_low activity,MF_mid activity,MF_high activity,MF_saves,MF_yellow,MF_red,MF_tackles gaining ball,MF_tackles suffered losing ball,FW_passes_succeed,FW_total passes,FW_passes accuracy,FW_total shots,FW_on-target,FW_fouls committed,FW_fouls suffered,FW_distance,FW_distance in poss,FW_distance not in poss,FW_time on opposite half,FW_time on opposite third,FW_time on opposite pen,FW_sprints,FW_avg max speed,FW_low activity,FW_mid activity,FW_high activity,FW_saves,FW_yellow,FW_red,FW_tackles gaining ball,FW_tackles suffered losing ball,result
0,1,BRA,3.0,16.0,21.0,76.0,0.0,0.0,0.0,1.0,3572.0,1223.0,947.0,0.0,0.0,0.0,6.0,20.88,98.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,239.0,293.0,81.75,4.0,2.0,0.0,6.0,36599.0,14185.0,11715.0,133.0,15.0,3.25,114.0,26.75,86.25,6.75,7.0,0.0,0.0,0.0,3.0,1.0,112.0,154.0,55.0,4.0,3.0,4.0,8.0,33084.0,13183.0,10395.0,266.0,30.6,10.2,117.0,27.880000000000003,78.4,8.2,13.4,0.0,1.0,0.0,5.0,5.0,66.0,98.0,67.75,6.0,4.0,1.0,5.0,28837.0,11975.0,8423.0,289.0,44.5,9.0,92.0,26.6475,82.75,7.75,9.5,0.0,1.0,0.0,1.0,3.0,1
1,1,CRO,1.0,17.0,23.0,74.0,0.0,0.0,0.0,0.0,3311.0,938.0,1259.0,0.0,0.0,0.0,0.0,11.74,99.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,107.0,150.0,73.0,2.0,0.0,9.0,3.0,39559.0,11379.0,17148.0,66.0,5.25,1.0,112.0,25.3325,83.5,8.75,7.75,0.0,2.0,0.0,1.0,0.0,137.0,182.0,72.0,6.0,3.0,6.0,2.0,43604.0,13335.0,18289.0,207.0,17.2,2.4,141.0,27.913999999999998,78.6,9.6,11.8,0.0,0.0,0.0,5.0,5.0,23.0,55.0,48.666666666666664,2.0,1.0,6.0,0.0,22690.0,6789.0,9136.0,162.0,29.666666666666668,7.333333333333333,81.0,27.746666666666666,80.0,9.0,11.0,0.0,0.0,0.0,3.0,4.0,-1
2,2,CMR,0.0,13.0,21.0,62.0,0.0,0.0,0.0,0.0,3585.0,925.0,1193.0,0.0,0.0,0.0,1.0,18.68,99.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,128.0,178.0,72.4,4.0,2.0,4.0,2.0,36787.0,9816.0,14947.0,121.0,6.2,0.8,138.0,27.904000000000003,86.0,6.6,7.4,0.0,1.0,0.0,1.0,0.0,95.0,107.0,89.0,2.0,0.0,6.0,6.0,30417.0,8372.0,12183.0,142.0,19.333333333333332,2.6666666666666665,87.0,25.403333333333336,81.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,48.0,85.0,56.0,4.0,2.0,2.0,1.0,29276.0,8849.0,10611.0,278.0,41.5,11.75,92.0,27.197499999999998,86.25,6.25,7.5,0.0,0.0,0.0,0.0,1.0,-1
3,2,MEX,1.0,20.0,22.0,91.0,0.0,0.0,0.0,0.0,3890.0,1192.0,1119.0,0.0,0.0,0.0,0.0,13.39,98.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,296.0,370.0,68.71428571428571,4.0,2.0,4.0,4.0,56775.0,20800.0,16654.0,251.0,11.142857142857142,1.7142857142857142,159.0,26.335714285714285,81.57142857142857,8.285714285714286,10.142857142857142,0.0,1.0,0.0,1.0,0.0,118.0,141.0,83.33333333333333,1.0,0.0,4.0,3.0,24559.0,9032.0,7254.0,143.0,18.0,4.333333333333333,70.0,27.95,79.33333333333333,9.666666666666666,11.0,0.0,0.0,0.0,0.0,0.0,50.0,65.0,74.33333333333333,4.0,3.0,3.0,4.0,19211.0,7414.0,5015.0,223.0,40.0,11.0,91.0,28.406666666666666,85.0,6.333333333333333,8.666666666666666,0.0,0.0,0.0,0.0,1.0,1
4,3,ESP,1.0,15.0,16.0,94.0,0.0,0.0,0.0,0.0,3083.0,904.0,1220.0,0.0,0.0,0.0,0.0,13.93,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,209.0,84.0,1.0,0.0,1.0,4.0,28472.0,10543.0,10182.0,79.0,10.333333333333334,3.0,109.0,29.173333333333332,86.0,6.666666666666667,7.333333333333333,0.0,0.0,0.0,0.0,0.0,347.0,409.0,84.28571428571429,5.0,4.0,3.0,9.0,57560.0,23461.0,19246.0,341.0,16.571428571428573,3.2857142857142856,154.0,26.505714285714284,81.14285714285714,9.714285714285714,9.142857142857142,0.0,0.0,0.0,0.0,0.0,29.0,46.0,64.33333333333333,3.0,2.0,1.0,4.0,12922.0,5090.0,3957.0,238.0,40.0,8.666666666666666,77.0,26.099999999999998,84.66666666666667,6.333333333333333,9.0,0.0,0.0,0.0,0.0,0.0,-1
5,3,NED,5.0,24.0,36.0,67.0,0.0,0.0,0.0,0.0,4800.0,1671.0,1794.0,0.0,0.0,0.0,0.0,14.72,98.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,172.0,213.0,81.16666666666667,2.0,1.0,9.0,0.0,51722.0,17000.0,21468.0,120.0,7.5,1.3333333333333333,173.0,26.53833333333333,81.33333333333333,9.5,9.166666666666666,0.0,0.0,0.0,0.0,0.0,82.0,113.0,70.5,4.0,4.0,4.0,3.0,32422.0,11039.0,13085.0,162.0,12.25,1.25,94.0,27.4775,78.5,10.5,11.0,0.0,0.0,0.0,0.0,0.0,40.0,63.0,65.33333333333333,7.0,6.0,5.0,1.0,20437.0,7235.0,7402.0,208.0,29.0,7.666666666666667,117.0,29.810000000000002,83.33333333333333,5.666666666666667,11.0,0.0,0.0,0.0,0.0,0.0,1
6,4,AUS,1.0,31.0,34.0,91.0,0.0,0.0,0.0,0.0,6196.0,1771.0,2887.0,0.0,0.0,0.0,3.0,16.96,96.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,121.0,171.0,71.2,0.0,0.0,3.0,4.0,41369.0,11390.0,20174.0,87.0,5.0,2.6,140.0,27.166000000000004,81.6,9.2,9.2,0.0,0.0,0.0,2.0,0.0,111.0,151.0,70.4,6.0,3.0,9.0,3.0,43956.0,12226.0,21040.0,237.0,19.4,2.2,149.0,26.52,73.4,12.0,14.6,0.0,2.0,0.0,1.0,1.0,61.0,78.0,70.0,7.0,3.0,6.0,1.0,24369.0,7218.0,10730.0,192.0,33.666666666666664,5.333333333333333,96.0,28.37,79.66666666666667,9.666666666666666,10.666666666666666,0.0,1.0,0.0,0.0,1.0,-1
7,4,CHI,3.0,35.0,47.0,74.0,0.0,0.0,0.0,0.0,5590.0,2380.0,1484.0,0.0,0.0,0.0,5.0,24.3,97.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,292.0,334.0,87.75,2.0,2.0,5.0,7.0,41232.0,17912.0,12462.0,113.0,9.0,1.25,154.0,27.7025,82.5,8.25,9.25,0.0,0.0,0.0,2.0,1.0,221.0,267.0,76.33333333333333,5.0,4.0,4.0,5.0,47521.0,22004.0,13832.0,347.0,23.833333333333332,3.1666666666666665,206.0,27.433333333333334,75.66666666666667,10.833333333333334,13.5,0.0,1.0,0.0,0.0,1.0,67.0,81.0,88.33333333333333,4.0,3.0,0.0,6.0,19207.0,8701.0,5479.0,234.0,38.333333333333336,7.0,110.0,26.03,82.33333333333333,7.333333333333333,10.333333333333334,0.0,0.0,0.0,0.0,1.0,1
8,5,COL,3.0,22.0,33.0,67.0,0.0,0.0,0.0,0.0,4445.0,1451.0,1359.0,0.0,0.0,0.0,3.0,18.83,97.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,135.0,168.0,80.2,2.0,2.0,4.0,5.0,39473.0,13225.0,15520.0,128.0,9.8,1.0,115.0,28.080000000000002,82.8,7.8,9.4,0.0,0.0,0.0,0.0,0.0,128.0,164.0,79.0,9.0,5.0,7.0,5.0,43110.0,14991.0,16956.0,210.0,16.2,2.2,152.0,28.201999999999998,80.6,8.8,10.6,0.0,0.0,0.0,0.0,0.0,43.0,65.0,60.333333333333336,1.0,1.0,8.0,4.0,20588.0,7276.0,7293.0,192.0,34.333333333333336,8.666666666666666,96.0,28.30666666666667,81.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,1
9,5,GRE,0.0,15.0,18.0,83.0,0.0,0.0,0.0,0.0,5325.0,2037.0,1573.0,0.0,0.0,0.0,1.0,14.26,98.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,154.0,196.0,79.5,2.0,1.0,3.0,5.0,36014.0,13123.0,12825.0,108.0,10.0,1.5,112.0,28.63,87.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,143.0,186.0,81.0,5.0,3.0,4.0,6.0,32963.0,12713.0,11598.0,185.0,18.5,2.25,123.0,27.45,77.75,10.0,12.25,0.0,0.0,0.0,0.0,0.0,65.0,101.0,65.8,5.0,3.0,7.0,6.0,30549.0,12015.0,10412.0,327.0,37.4,7.6,89.0,27.836000000000002,81.4,8.4,10.2,0.0,0.0,0.0,0.0,0.0,-1
10,6,CIV,2.0,22.0,29.0,76.0,0.0,0.0,0.0,0.0,2204.0,789.0,789.0,0.0,0.0,0.0,0.0,15.16,99.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,205.0,247.0,81.6,4.0,3.0,3.0,2.0,35752.0,14199.0,11957.0,141.0,9.6,1.8,113.0,26.77,86.2,6.4,7.4,0.0,2.0,0.0,1.0,0.0,160.0,186.0,89.5,2.0,0.0,2.0,6.0,28562.0,11853.0,9197.0,203.0,21.5,3.25,63.0,28.315,82.5,8.25,9.25,0.0,0.0,0.0,0.0,1.0,69.0,108.0,61.5,14.0,7.0,7.0,5.0,30707.0,12840.0,9331.0,285.0,36.0,10.5,123.0,27.9975,85.5,6.25,8.25,0.0,0.0,0.0,0.0,1.0,1
