,DF_avg max speed,DF_distance in poss,DF_on-target,DF_red,DF_tackles suffered losing ball,DF_total passes,DF_yellow,FW_distance,FW_distance not in poss,FW_fouls suffered,FW_low activity,FW_on-target,FW_sprints,FW_time on opposite half,FW_total passes,FW_total shots,GK_avg max speed,GK_distance in poss,GK_fouls suffered,GK_low activity,GK_passes_succeed,GK_saves,GK_time on opposite third,GK_total passes,GK_yellow,MF_fouls suffered,MF_on-target,MF_passes accuracy,MF_red,MF_tackles gaining ball,MF_tackles suffered losing ball,MF_time on opposite half,MF_time on opposite pen,MF_time on opposite third
239,0.8125,7299.0,-6.0,0.0,0.0,133.0,0.0,-411.0,-1194.0,4.0,-4.833333333333329,-6.0,-24.0,-83.0,6.0,-6.0,11.88,46.0,0.0,-1.0,30.0,0.0,0.0,19.0,0.0,-1.0,-5.0,-2.4000000000000057,0.0,0.0,0.0,-113.0,1.0999999999999996,-6.399999999999999
240,-1.8554999999999997,-547.0,2.0,0.0,0.0,15.0,0.0,7429.0,1535.0,6.0,-0.1666666666666714,1.0,49.0,-122.0,29.0,4.0,-2.0599999999999987,-152.0,-2.0,1.0,-2.0,0.0,0.0,4.0,0.0,-8.0,-2.0,-4.0,0.0,0.0,0.0,-98.0,-1.1999999999999995,-13.0
241,1.8554999999999997,547.0,-2.0,0.0,0.0,-15.0,0.0,-7429.0,-1535.0,-6.0,0.1666666666666714,-1.0,-49.0,122.0,-29.0,-4.0,2.0599999999999987,152.0,2.0,-1.0,2.0,0.0,0.0,-4.0,0.0,8.0,2.0,4.0,0.0,0.0,0.0,98.0,1.1999999999999995,13.0
242,-2.2426666666666684,2276.0,-1.0,0.0,1.0,90.0,0.0,393.0,122.0,-4.0,3.0,3.0,-6.0,3.0,-25.0,4.0,-0.620000000000001,45.0,1.0,1.0,-4.0,-3.0,0.0,-11.0,0.0,1.0,1.0,5.25,0.0,-1.0,1.0,-97.0,0.0833333333333334,2.583333333333334
243,2.2426666666666684,-2276.0,1.0,0.0,-1.0,-90.0,0.0,-393.0,-122.0,4.0,-3.0,-3.0,6.0,-3.0,25.0,-4.0,0.620000000000001,-45.0,-1.0,-1.0,4.0,3.0,0.0,11.0,0.0,-1.0,-1.0,-5.25,0.0,1.0,-1.0,97.0,-0.0833333333333334,-2.583333333333334
244,-1.1333333333333329,-3904.0,-1.0,0.0,0.0,-158.0,0.0,-27566.0,-2083.0,-5.0,-0.1666666666666572,-11.0,-143.0,-272.0,-160.0,-12.0,-2.66,-1267.0,1.0,10.5,-8.0,0.0,0.0,3.0,0.0,0.0,0.0,-22.0,0.0,0.0,0.0,33.0,-3.5,-12.75
245,1.1333333333333329,3904.0,1.0,0.0,0.0,158.0,0.0,27566.0,2083.0,5.0,0.1666666666666572,11.0,143.0,272.0,160.0,12.0,2.66,1267.0,-1.0,-10.5,8.0,0.0,0.0,-3.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,-33.0,3.5,12.75
246,1.3575000000000017,327.0,0.0,0.0,-1.0,-38.0,-1.0,11645.0,2620.0,5.0,0.0833333333333286,3.0,52.0,1.0,73.0,5.0,-0.4299999999999997,-238.0,0.0,1.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,2.3333333333333286,0.0,-1.0,-1.0,-206.0,-3.733333333333333,-18.366666666666667
247,-1.3575000000000017,-327.0,0.0,0.0,1.0,38.0,1.0,-11645.0,-2620.0,-5.0,-0.0833333333333286,-3.0,-52.0,-1.0,-73.0,-5.0,0.4299999999999997,238.0,0.0,-1.0,-3.0,0.0,0.0,-16.0,0.0,0.0,0.0,-2.3333333333333286,0.0,1.0,1.0,206.0,3.733333333333333,18.366666666666667
248,-0.2899999999999991,3159.0,2.0,0.0,0.0,98.0,1.0,135.0,-256.0,-3.0,3.333333333333343,-6.0,16.0,7.0,-6.0,-5.0,-4.359999999999999,-1061.0,-1.0,5.0,-20.0,-4.0,0.0,-22.0,0.0,2.0,5.0,-6.5,0.0,2.0,-1.0,56.0,2.666666666666667,7.666666666666668
